Date,Close,High,Low,Open,Volume,Market_Label,GDP Growth,CPI,Interest Rate,M2 Money Supply,PPI,Unemployment Rate
2016-05-25,180.3813018798828,180.8036443364041,179.16600038088524,179.85553398574797,76621400,1,18711.702,1.1726257503534845,1.87,12796.0,-4.033525405971716,5.1
2016-05-26,180.4330291748047,180.75194621947588,180.11412528189416,180.51922581428568,55280700,1,18711.702,1.1726257503534845,1.83,12796.0,-4.033525405971716,5.1
2016-05-27,181.208724975586,181.2173393771897,180.54504780286564,180.5967605160047,64211200,1,18711.702,1.1726257503534845,1.85,12796.0,-4.033525405971716,5.1
2016-05-31,180.8640289306641,181.5966610845931,180.29516253950248,181.4846080570651,109879400,1,18711.702,1.1726257503534845,1.84,12796.0,-4.033525405971716,5.1
2016-06-01,181.2346343994141,181.4156289483977,180.04518904190198,180.2434255509,69936200,1,18711.702,1.0792865347959424,1.85,12796.0,-3.696098562628347,4.9
2016-06-02,181.78628540039065,181.8035142111684,180.34689059461184,180.8295603316677,63044700,1,18711.702,1.0792865347959424,1.81,12796.0,-3.696098562628347,4.9
2016-06-03,181.2432098388672,181.5965976084971,180.01929397621262,181.2173534802854,101757100,1,18711.702,1.0792865347959424,1.71,12796.0,-3.696098562628347,4.9
2016-06-06,182.1654815673828,182.52748377459287,181.4414640012021,181.60522972269823,64887000,1,18711.702,1.0792865347959424,1.73,12799.1,-3.696098562628347,4.9
2016-06-07,182.449935913086,183.0188022680593,182.29479771723663,182.3206540832115,60974800,1,18711.702,1.0792865347959424,1.72,12799.1,-3.696098562628347,4.9
2016-06-08,183.04461669921875,183.1739116512352,182.45852166904288,182.58780346929936,66170900,1,18711.702,1.0792865347959424,1.71,12799.1,-3.696098562628347,4.9
2016-06-09,182.794677734375,182.91534513862263,182.0275749891375,182.3033805623776,73786900,1,18711.702,1.0792865347959424,1.68,12799.1,-3.696098562628347,4.9
2016-06-10,181.062240600586,181.7431467245424,180.51060313582192,181.39838646082583,113829200,1,18711.702,1.0792865347959424,1.64,12799.1,-3.696098562628347,4.9
2016-06-13,179.66595458984375,181.3208277435237,179.5797710886154,180.4502994160696,117751200,1,18711.702,1.0792865347959424,1.62,12847.2,-3.696098562628347,4.9
2016-06-14,179.31253051757812,179.91588066315964,178.3471913274638,179.2780597543998,125059300,1,18711.702,1.0792865347959424,1.62,12847.2,-3.696098562628347,4.9
2016-06-15,179.06259155273438,180.45027329372613,178.8729694650142,179.31254076740507,109124500,1,18711.702,1.0792865347959424,1.6,12847.2,-3.696098562628347,4.9
2016-06-16,179.59698486328125,179.769378154832,177.20086541045637,179.06260248440657,149533100,1,18711.702,1.0792865347959424,1.57,12847.2,-3.696098562628347,4.9
2016-06-17,178.92816162109375,179.51730473980504,178.26103279065825,179.49131390928295,117055700,1,18711.702,1.0792865347959424,1.62,12847.2,-3.696098562628347,4.9
2016-06-20,180.08042907714844,181.60528140650845,179.99378418177875,180.92083432564567,82789600,1,18711.702,1.0792865347959424,1.67,12862.1,-3.696098562628347,4.9
2016-06-21,180.5916442871093,181.0075108034775,180.01981956450436,180.4703493356621,72461700,1,18711.702,1.0792865347959424,1.71,12862.1,-3.696098562628347,4.9
2016-06-22,180.29705810546875,181.5100075216076,180.1497591147917,180.77356544885083,95560500,1,18711.702,1.0792865347959424,1.69,12862.1,-3.696098562628347,4.9
2016-06-23,182.6449737548828,182.6969554096507,181.3107294752668,181.77857758833423,102731400,1,18711.702,1.0792865347959424,1.74,12862.1,-3.696098562628347,4.9
2016-06-24,176.08633422851562,182.6796085580553,175.63580459042282,176.42422815204665,333444400,1,18711.702,1.0792865347959424,1.57,12862.1,-3.696098562628347,4.9
2016-06-27,172.9326934814453,174.66548594831286,172.10960648355731,174.6568135250778,230775800,1,18711.702,1.0792865347959424,1.46,12866.3,-3.696098562628347,4.9
